id,name,thumbnail
AFA,Air Force,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/aab.gif
AKR,Akron,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/aac.gif
ALA,Alabama,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/aad_4.gif
ARIZ,Arizona,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/aal.gif
ARK,Arkansas,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/aan_3.gif
ARMY,Army,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/aaq_1.gif
ARST,Arkansas State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/aap_2.jpg
AUB,Auburn,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/aar.gif
AZST,Arizona State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/asu-2w.jpg
BAST,Ball State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/bba.gif
BAY,Baylor,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/bbb.gif
BC,Boston College,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/bbf.gif
BGSU,Bowling Green,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/bowling_green/logo_update/50x50w.gif
BOST,Boise State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/bbe.gif
BUF,Buffalo,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/bbp_2.gif
BYU,Brigham Young,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/bbi.gif
CAL,California,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ccd_2.gif
CEMI,Central Michigan,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ccg.gif
CINC,Cincinnati,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ccj_50x50w_2.jpg
CLEM,Clemson,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ccl.gif
COLO,Colorado,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/cbl_1.gif
CONN,Connecticut,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ccq.gif
COST,Colorado State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/cco.gif
DUKE,Duke,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ddf.gif
ECU,East Carolina,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/eea.gif
EMU,Eastern Mich.,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/eef.gif
FAU,Fla. Atlantic,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/flaa-w.jpg
FIU,Florida Int'l,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/fli_1.gif
FLA,Florida,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ffa.gif
FLST,Florida State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ffc.gif
FRST,Fresno State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ffe.gif
GT,Georgia Tech,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ggc.gif
HAW,Hawaii,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/hhc.gif
HOU,Houston,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/hhe2.gif
IAST,Iowa State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/iih_2.jpg
IDA,Idaho,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/iia.gif
ILL,Illinois,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/iic2.gif
IND,Indiana,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/iie.gif
IOWA,Iowa,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/iig.gif
KAN,Kansas,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/kka.gif
KEST,Kent State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/kkc.gif
KSST,Kansas State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/kab_3.gif
LOUI,Louisville,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/llh2.gif
LSU,LSU,http://l.yimg.com/a/i/us//sp/v/ncaaf/teams/1/50x50w/lli_2.gif
LT,Louisiana Tech,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/llg_2.gif
MARS,Marshall,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/mmc.gif
MASS,Massachusetts,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/mme.gif
MD,Maryland,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/mmd.gif
MEMP,Memphis,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/mmg.gif
MIAF,Miami (FL),http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/mmi.gif
MIAO,Miami (OH),http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/mmj.gif
MICH,Michigan,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/mmk.gif
MINN,Minnesota,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/mmn_1.gif
MISS,Ole Miss,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/mmo_2.gif
MIST,Michigan State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/mml.gif
MO,Missouri,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/mms_2.gif
MSST,Mississippi State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/mmq_2.gif
MTSU,Middle Tenn. State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/mmm.gif
NAVY,Navy,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/nna.gif
