"id","season","region","hometeam_id","awayteam_id","parent_id","child_id","name","round","index","homeTeamScore","awayTeamScore","gameDate","location"
"2013R1G1MW",2013,"MW","LOUI","NCAT",,,"MW Round2 Game1",1,1,79,48,2013-03-17,"Nowhere"
"2013R1G2MW",2013,"MW","COST","MO",,,"MW Round2 Game2",1,2,84,72,2013-03-17,"Nowhere"
"2013R1G3MW",2013,"MW","OKST","ORE",,,"MW Round2 Game3",1,3,55,68,2013-03-17,"Nowhere"
"2013R1G4MW",2013,"MW","STL","NMSU",,,"MW Round2 Game4",1,4,64,44,2013-03-18,"Nowhere"
"2013R1G5MW",2013,"MW","MEMP","STMA",,,"MW Round2 Game5",1,5,54,52,2013-03-18,"Nowhere"
"2013R1G6MW",2013,"MW","MIST","VAL",,,"MW Round2 Game6",1,6,65,54,2013-03-18,"Nowhere"
"2013R1G7MW",2013,"MW","CRE","CINC",,,"MW Round2 Game7",1,7,67,63,2013-03-19,"Nowhere"
"2014R1G8MW",2013,"MW","DUKE","ALB",,,"MW Round2 Game8",1,8,73,61,2013-03-19,"Nowhere"
"2013R2G1MW",2013,"MW","LOUI","COST",,,"MW Round2 Game2",2,1,82,56,2013-03-17,"Nowhere"
"2013R3G1MW",2013,"MW","LOUI","ORE",,,"MW Sweet 16 Game 1",3,1,77,69,2013-03-18,"Nowhere"
