"id","season","region","hometeam_id","awayteam_id","parent_id","child_id","name","round","index","homeTeamScore","awayTeamScore","gameDate","location"
"2013R1G1MW",2013,"MW","LOUI","NCAT",,,"MW Round2 Game1",1,1,79,48,2013-03-17,"Nowhere"
"2013R1G2MW",2013,"MW","COST","MO",,,"MW Round2 Game2",1,2,84,72,2013-03-17,"Nowhere"
"2013R1G3MW",2013,"MW","OKST","ORE",,,"MW Round2 Game3",1,3,55,68,2013-03-17,"Nowhere"
"2013R1G4MW",2013,"MW","STL","NMSU",,,"MW Round2 Game4",1,4,64,44,2013-03-18,"Nowhere"
"2013R1G5MW",2013,"MW","MEMP","STMA",,,"MW Round2 Game5",1,5,54,52,2013-03-18,"Nowhere"
"2013R1G6MW",2013,"MW","MIST","VAL",,,"MW Round2 Game6",1,6,65,54,2013-03-18,"Nowhere"
"2013R1G7MW",2013,"MW","CRE","CINC",,,"MW Round2 Game7",1,7,67,63,2013-03-19,"Nowhere"
"2014R1G8MW",2013,"MW","DUKE","ALB",,,"MW Round2 Game8",1,8,73,61,2013-03-19,"Nowhere"
"2013R2G1MW",2013,"MW","LOUI","COST",,,"MW Round3 Game 1",2,1,82,56,2013-03-17,"Nowhere"
"2013R2G2MW",2013,"MW","ORE","STL",,,"MW Round3 Game 2",2,2,74,57,2013-03-17,"Nowhere"
"2013R2G3MW",2013,"MW","MEMP","MIST",,,"MW Round3 Game 3",2,3,48,70,2013-03-17,"Nowhere"
"2013R2G4MW",2013,"MW","CRE","DUKE",,,"MW Round3 Game 4",2,4,50,66,2013-03-17,"Nowhere"
"2013R3G4MW",2013,"MW","LOUI","ORE",,,"MW Sweet 16 Game 1",3,1,77,69,2013-03-18,"Nowhere"
"2013R3G2MW",2013,"MW","MIST","DUKE",,,"MW Sweet 16 Game 2",3,2,61,71,2013-03-18,"Nowhere"
"2013R4G1MW",2013,"MW","LOUI","DUKE",,,"MW Elite 8 Game 1",4,1,85,63,2013-03-18,"Nowhere"
"2013R1G1S",2013,"S","KAN","WEKY",,,"S Round2 Game1",1,1,64,57,2013-03-17,"Nowhere"
"2013R1G2S",2013,"S","UNC","VIL",,,"S Round2 Game2",1,2,78,71,2013-03-17,"Nowhere"
"2013R1G3S",2013,"S","VCU","AKR",,,"S Round2 Game3",1,3,88,42,2013-03-17,"Nowhere"
"2013R1G4S",2013,"S","MICH","SDST",,,"S Round2 Game4",1,4,71,56,2013-03-18,"Nowhere"
"2013R1G5S",2013,"S","UCLA","MINN",,,"S Round2 Game5",1,5,63,83,2013-03-18,"Nowhere"
"2013R1G6S",2013,"S","FLA","NWST",,,"S Round2 Game6",1,6,79,47,2013-03-18,"Nowhere"
"2013R1G7S",2013,"S","SDST","OKLA",,,"S Round2 Game7",1,7,70,55,2013-03-19,"Nowhere"
"2013R1G8S",2013,"S","GTWN","FGCU",,,"S Round2 Game8",1,8,68,78,2013-03-19,"Nowhere"
"2013R2G1S",2013,"S","KAN","UNC",,,"S Round3 Game1",2,1,70,58,2013-03-17,"Nowhere"
"2013R2G2S",2013,"S","VCU","MICH",,,"S Round3 Game2",2,2,53,78,2013-03-18,"Nowhere"
"2013R2G3S",2013,"S","MINN","FLA",,,"S Round3 Game3",2,3,64,78,2013-03-19,"Nowhere"
"2013R2G4S",2013,"S","SDST","FGCU",,,"S Round3 Game4",2,4,71,81,2013-03-20,"Nowhere"
"2013R3G1S",2013,"S","KAN","MICH",,,"S Sweet 16 Game 1",3,1,85,87,2013-03-18,"Nowhere"
"2013R3G2S",2013,"S","FLA","FGCU",,,"S Sweet 16 Game 2",3,2,62,50,2013-03-18,"Nowhere"
"2013R4G1S",2013,"S","MICH","FLA",,,"S Elite 8 Game 1",4,1,79,59,2013-03-18,"Nowhere"
