"id","season","region","hometeam_id","awayteam_id","name","round","index","homeTeamScore","awayTeamScore","gameDate","location"
"2014R1G1MW",2014,"MW",,,"MW Round2 Game 1",1,1,,,2014-03-17,"Nowhere"
"2014R1G2MW",2014,"MW",,,"MW Round2 Game 2",1,2,,,2014-03-17,"Nowhere"
"2014R1G3MW",2014,"MW",,,"MW Round2 Game 3",1,3,,,2014-03-17,"Nowhere"
"2014R1G4MW",2014,"MW",,,"MW Round2 Game 4",1,4,,,2014-03-18,"Nowhere"
"2014R1G5MW",2014,"MW",,,"MW Round2 Game 5",1,5,,,2014-03-18,"Nowhere"
"2014R1G6MW",2014,"MW",,,"MW Round2 Game 6",1,6,,,2014-03-18,"Nowhere"
"2014R1G7MW",2014,"MW",,,"MW Round2 Game 7",1,7,,,2014-03-19,"Nowhere"
"2014R1G8MW",2014,"MW",,,"MW Round2 Game 8",1,8,,,2014-03-19,"Nowhere"
"2014R2G1MW",2014,"MW",,,"MW Round3 Game 1",2,1,,,2014-03-17,"Nowhere"
"2014R2G2MW",2014,"MW",,,"MW Round3 Game 2",2,2,,,2014-03-17,"Nowhere"
"2014R2G3MW",2014,"MW",,,"MW Round3 Game 3",2,3,,,2014-03-17,"Nowhere"
"2014R2G4MW",2014,"MW",,,"MW Round3 Game 4",2,4,,,2014-03-17,"Nowhere"
"2014R3G4MW",2014,"MW",,,"MW Sweet 16 Game 1",3,1,,,2014-03-18,"Nowhere"
"2014R3G2MW",2014,"MW",,,"MW Sweet 16 Game 2",3,2,,,2014-03-18,"Nowhere"
"2014R4G1MW",2014,"MW",,,"MW Elite 8 Game 1",4,1,,,2014-03-18,"Nowhere"
"2014R1G1S",2014,"S",,,"S Round2 Game 1",1,1,,,2014-03-17,"Nowhere"
"2014R1G2S",2014,"S",,,"S Round2 Game 2",1,2,,,2014-03-17,"Nowhere"
"2014R1G3S",2014,"S",,,"S Round2 Game 3",1,3,,,2014-03-17,"Nowhere"
"2014R1G4S",2014,"S",,,"S Round2 Game 4",1,4,,,2014-03-18,"Nowhere"
"2014R1G5S",2014,"S",,,"S Round2 Game 5",1,5,,,2014-03-18,"Nowhere"
"2014R1G6S",2014,"S",,,"S Round2 Game 6",1,6,,,2014-03-18,"Nowhere"
"2014R1G7S",2014,"S",,,"S Round2 Game 7",1,7,,,2014-03-19,"Nowhere"
"2014R1G8S",2014,"S",,,"S Round2 Game 8",1,8,,,2014-03-19,"Nowhere"
"2014R2G1S",2014,"S",,,"S Round3 Game 1",2,1,,,2014-03-17,"Nowhere"
"2014R2G2S",2014,"S",,,"S Round3 Game 2",2,2,,,2014-03-18,"Nowhere"
"2014R2G3S",2014,"S",,,"S Round3 Game 3",2,3,,,2014-03-19,"Nowhere"
"2014R2G4S",2014,"S",,,"S Round3 Game 4",2,4,,,2014-03-20,"Nowhere"
"2014R3G1S",2014,"S",,,"S Sweet 16 Game 1",3,1,,,2014-03-18,"Nowhere"
"2014R3G2S",2014,"S",,,"S Sweet 16 Game 2",3,2,,,2014-03-18,"Nowhere"
"2014R4G1S",2014,"S",,,"S Elite 8 Game 1",4,1,,,2014-03-18,"Nowhere"
"2014R1G1W",2014,"W",,,"W Round2 Game 1",1,1,,,2014-03-17,"Nowhere"
"2014R1G2W",2014,"W",,,"W Round2 Game 2",1,2,,,2014-03-17,"Nowhere"
"2014R1G3W",2014,"W",,,"W Round2 Game 3",1,3,,,2014-03-17,"Nowhere"
"2014R1G4W",2014,"W",,,"W Round2 Game 4",1,4,,,2014-03-18,"Nowhere"
"2014R1G5W",2014,"W",,,"W Round2 Game 5",1,5,,,2014-03-18,"Nowhere"
"2014R1G6W",2014,"W",,,"W Round2 Game 6",1,6,,,2014-03-18,"Nowhere"
"2014R1G7W",2014,"W",,,"W Round2 Game 7",1,7,,,2014-03-19,"Nowhere"
"2014R1G8W",2014,"W",,,"W Round2 Game 8",1,8,,,2014-03-19,"Nowhere"
"2014R2G1W",2014,"W",,,"W Round3 Game 1",2,1,,,2014-03-17,"Nowhere"
"2014R2G2W",2014,"W",,,"W Round3 Game 2",2,2,,,2014-03-17,"Nowhere"
"2014R2G3W",2014,"W",,,"W Round3 Game 3",2,3,,,2014-03-17,"Nowhere"
"2014R2G4W",2014,"W",,,"W Round3 Game 4",2,4,,,2014-03-17,"Nowhere"
"2014R3G4W",2014,"W",,,"W Sweet 16 Game 1",3,1,,,2014-03-18,"Nowhere"
"2014R3G2W",2014,"W",,,"W Sweet 16 Game 2",3,2,,,2014-03-18,"Nowhere"
"2014R4G1W",2014,"W",,,"W Elite 8 Game 1",4,1,,,2014-03-18,"Nowhere"
"2014R1G1E",2014,"E",,,"W Round2 Game 1",1,1,,,2014-03-17,"Nowhere"
"2014R1G2E",2014,"E",,,"W Round2 Game 2",1,2,,,2014-03-17,"Nowhere"
"2014R1G3E",2014,"E",,,"W Round2 Game 3",1,3,,,2014-03-17,"Nowhere"
"2014R1G4E",2014,"E",,,"W Round2 Game 4",1,4,,,2014-03-18,"Nowhere"
"2014R1G5E",2014,"E",,,"W Round2 Game 5",1,5,,,2014-03-18,"Nowhere"
"2014R1G6E",2014,"E",,,"W Round2 Game 6",1,6,,,2014-03-18,"Nowhere"
"2014R1G7E",2014,"E",,,"W Round2 Game 7",1,7,,,2014-03-19,"Nowhere"
"2014R1G8E",2014,"E",,,"W Round2 Game 8",1,8,,,2014-03-19,"Nowhere"
"2014R2G1E",2014,"E",,,"W Round3 Game 1",2,1,,,2014-03-17,"Nowhere"
"2014R2G2E",2014,"E",,,"W Round3 Game 2",2,2,,,2014-03-17,"Nowhere"
"2014R2G3E",2014,"E",,,"W Round3 Game 3",2,3,,,2014-03-17,"Nowhere"
"2014R2G4E",2014,"E",,,"W Round3 Game 4",2,4,,,2014-03-17,"Nowhere"
"2014R3G4E",2014,"E",,,"W Sweet 16 Game 1",3,1,,,2014-03-18,"Nowhere"
"2014R3G2E",2014,"E",,,"W Sweet 16 Game 2",3,2,,,2014-03-18,"Nowhere"
"2014R4G1E",2014,"E",,,"W Elite 8 Game 1",4,1,,,2014-03-18,"Nowhere"
"2014FFG1",2014,,,,"Final Four Game 1",5,1,,,2014-03-19,"Nowhere"
"2014FFG2",2014,,,,"Final Four Game 2",5,2,,,2014-03-20,"Nowhere"
"2014CHAMP",2014,,,,"Championship",6,1,,,2014-03-21,"Nowhere"
